Id,Name,Gender,Email,EmailName,Domain,CompanyEmail,RegionCode,Phone,EmpPhone,FaxNumber,CitizenIdentification,Role,Department,Location,University,Birthday,StartDay,OfficialDay,ContractStatus,ContractStartDay,ContractEndDay,BaseSalary,base-net,BankName,BankAccountNumber,GrossSalary,NetSalary,net-gos,Manager,ProjectName,LinkCV,WorkingModel,Effort,WorkingTime,DateCreated,DateModified
95,Nguyễn Ngọc Mai Thi,Female,tedgehill2m@ucsd.edu,tedgehill2m,@solutiondtk.com,tedgehill2m@solutiondtk.com,84,488-612-8468,+84 488-612-8468,0517-3415,49738-002,Admin,Technology,Da Nang,Universidad Nacional de La Rioja,16/08/96,15/07/22,15/09/22,1 Year,2/20/2021,4/3/2023,"$20.754.047,18","$10.611.002,53",HSBC,53217-018,"$22.485.623,02","$10.143.044,65","-$12.342.578,37",Tatum Edgehill,INDEN,http://harvard.edu/nulla/ac/enim.html?nulla=quam&ut=pharetra&erat=magna&id=ac&mauris=consequat&vulputate=metus&elementum=sapien&nullam=ut&varius=nunc&nulla=vestibulum&facilisi=ante&cras=ipsum&non=primis&velit=in&nec=faucibus&nisi=orci&vulputate=luctus&nonummy=et&maecenas=ultrices&tincidunt=posuere&lacus=cubilia&at=curae&velit=mauris&vivamus=viverra&vel=diam&nulla=vitae&eget=quam&eros=suspendisse&elementum=potenti,Full time,100,Hybrid,10/30/2021,5/19/2022
96,Trần Kiên,Female,gzanioletti2n@hubpages.com,gzanioletti2n,@solutiondtk.com,gzanioletti2n@solutiondtk.com,84,567-464-9086,+84 567-464-9086,0135-0528,11410-609,Accountant,Sales,Ho Chi Minh,Universitas Trilogi,1/6/1996,10/4/2020,10/6/2020,1 Year,9/20/2020,4/4/2022,"$19.338.998,69","$3.748.067,20",HSBC,58232-4021,"$19.672.585,06","$15.590.931,49","-$4.081.653,57",Genvieve Zanioletti,EMBI,http://nifty.com/pulvinar/lobortis/est/phasellus/sit.json?mauris=curae&enim=donec&leo=pharetra&rhoncus=magna&sed=vestibulum&vestibulum=aliquet&sit=ultrices&amet=erat&cursus=tortor&id=sollicitudin&turpis=mi&integer=sit&aliquet=amet&massa=lobortis&id=sapien&lobortis=sapien&convallis=non&tortor=mi&risus=integer&dapibus=ac&augue=neque&vel=duis&accumsan=bibendum&tellus=morbi&nisi=non&eu=quam&orci=nec&mauris=dui&lacinia=luctus&sapien=rutrum&quis=nulla&libero=tellus&nullam=in&sit=sagittis&amet=dui&turpis=vel&elementum=nisl&ligula=duis&vehicula=ac&consequat=nibh&morbi=fusce&a=lacus&ipsum=purus&integer=aliquet&a=at&nibh=feugiat&in=non&quis=pretium&justo=quis&maecenas=lectus&rhoncus=suspendisse&aliquam=potenti&lacus=in&morbi=eleifend&quis=quam&tortor=a&id=odio&nulla=in&ultrices=hac&aliquet=habitasse&maecenas=platea&leo=dictumst&odio=maecenas&condimentum=ut&id=massa&luctus=quis&nec=augue&molestie=luctus&sed=tincidunt&justo=nulla&pellentesque=mollis&viverra=molestie&pede=lorem&ac=quisque&diam=ut&cras=erat&pellentesque=curabitur&volutpat=gravida&dui=nisi&maecenas=at&tristique=nibh&est=in&et=hac&tempus=habitasse&semper=platea&est=dictumst&quam=aliquam&pharetra=augue&magna=quam&ac=sollicitudin&consequat=vitae&metus=consectetuer&sapien=eget&ut=rutrum&nunc=at,Full time,100,Offline,1/21/2022,4/23/2022
100,Phan Lê Nam,Genderfluid,rglasebrook2r@drupal.org,rglasebrook2r,@solutiondtk.com,rglasebrook2r@solutiondtk.com,84,345-376-0831,+84 345-376-0831,65841-041,0069-0103,Digital Marketing,Marketing,Hanoi,Ambrose Alli University,8/5/1998,17/02/22,17/04/22,Infinity,3/9/2020,,"$21.376.105,68","$8.376.192,29",HSBC,36987-2854,"$20.474.087,01","$12.999.913,39","-$7.474.173,62",Robinetta Glasebrook,OTLS,https://squidoo.com/magnis/dis/parturient/montes/nascetur/ridiculus.xml?vestibulum=nibh&quam=fusce&sapien=lacus&varius=purus&ut=aliquet&blandit=at&non=feugiat&interdum=non&in=pretium&ante=quis&vestibulum=lectus&ante=suspendisse&ipsum=potenti&primis=in&in=eleifend&faucibus=quam&orci=a&luctus=odio&et=in&ultrices=hac&posuere=habitasse&cubilia=platea&curae=dictumst&duis=maecenas&faucibus=ut&accumsan=massa&odio=quis&curabitur=augue&convallis=luctus&duis=tincidunt&consequat=nulla&dui=mollis&nec=molestie&nisi=lorem&volutpat=quisque&eleifend=ut&donec=erat&ut=curabitur&dolor=gravida&morbi=nisi&vel=at&lectus=nibh&in=in&quam=hac&fringilla=habitasse&rhoncus=platea&mauris=dictumst&enim=aliquam&leo=augue&rhoncus=quam&sed=sollicitudin&vestibulum=vitae&sit=consectetuer&amet=eget&cursus=rutrum&id=at&turpis=lorem&integer=integer&aliquet=tincidunt&massa=ante&id=vel&lobortis=ipsum&convallis=praesent&tortor=blandit&risus=lacinia&dapibus=erat&augue=vestibulum&vel=sed&accumsan=magna&tellus=at&nisi=nunc&eu=commodo&orci=placerat&mauris=praesent&lacinia=blandit&sapien=nam&quis=nulla&libero=integer&nullam=pede&sit=justo&amet=lacinia,Full time,100,Online,3/7/2022,9/22/2022
103,Hang Duong,Female,mpipes2u@si.edu,mpipes2u,@solutiondtk.com,mpipes2u@solutiondtk.com,84,989-808-0556,+84 989-808-0556,0093-5455,58668-4101,Project Manager,Marketing,Hanoi,Universidad de San Andres,6/10/1998,2/4/2021,2/6/2021,1 Year,3/11/2020,3/20/2023,"$23.011.896,44","$14.213.191,24",HSBC,16729-153,"$9.255.461,00","$8.798.705,20","-$456.755,80",Marylou Pipes,OTLS,http://cargocollective.com/vestibulum/ac/est/lacinia.html?elit=volutpat&proin=quam&risus=pede&praesent=lobortis&lectus=ligula&vestibulum=sit&quam=amet&sapien=eleifend&varius=pede&ut=libero&blandit=quis&non=orci,Full time,80,Hybrid,7/8/2022,1/5/2022
105,Quốc Thái Hồ Vương,Female,dpirouet2w@weibo.com,dpirouet2w,@solutiondtk.com,dpirouet2w@solutiondtk.com,84,880-728-3756,+84 880-728-3756,63667-676,50419-451,Software Engineer,Sales,Hanoi,Wisconsin School of Professional Psychology,14/04/98,15/05/22,15/07/22,1 Year,11/11/2020,2/5/2023,"$8.935.393,69","$708.349,92",HSBC,51346-056,"$27.114.738,86","$8.227.043,77","-$18.887.695,09",Dorree Pirouet,INDEN,http://seesaa.net/vulputate/elementum/nullam/varius.jpg?sed=ut&accumsan=blandit,Full time,80,Offline,11/19/2021,10/28/2021
106,Võ Đức Hòa,Male,wgrayland2x@umn.edu,wgrayland2x,@solutiondtk.com,wgrayland2x@solutiondtk.com,84,992-474-2114,+84 992-474-2114,55312-139,60681-1901,Sales,Management,Hanoi,Zhezkazgan Baikonurov University,6/4/1999,3/5/2020,3/7/2020,1 Year,3/6/2022,12/28/2022,"$18.697.145,70","$8.622.182,02",HSBC,24385-021,"$19.132.082,55","$10.074.963,68","-$9.057.118,87",Worth Grayland,EMBI,http://pagesperso-orange.fr/dis.xml?in=ultrices&faucibus=posuere&orci=cubilia&luctus=curae&et=duis&ultrices=faucibus&posuere=accumsan&cubilia=odio&curae=curabitur&mauris=convallis&viverra=duis&diam=consequat&vitae=dui&quam=nec&suspendisse=nisi&potenti=volutpat&nullam=eleifend&porttitor=donec&lacus=ut&at=dolor&turpis=morbi&donec=vel&posuere=lectus&metus=in&vitae=quam&ipsum=fringilla&aliquam=rhoncus&non=mauris&mauris=enim&morbi=leo&non=rhoncus&lectus=sed&aliquam=vestibulum&sit=sit&amet=amet&diam=cursus&in=id&magna=turpis&bibendum=integer&imperdiet=aliquet&nullam=massa&orci=id&pede=lobortis&venenatis=convallis&non=tortor&sodales=risus&sed=dapibus&tincidunt=augue&eu=vel&felis=accumsan&fusce=tellus&posuere=nisi&felis=eu&sed=orci&lacus=mauris&morbi=lacinia&sem=sapien,Full time,80,Offline,10/6/2022,10/3/2022
107,Hoàng Danh Tiến,Genderfluid,dcamili2y@un.org,dcamili2y,@solutiondtk.com,dcamili2y@solutiondtk.com,84,307-691-9910,+84 307-691-9910,67938-1085,62032-416,Project Manager,Technology,Ho Chi Minh,Cairo University,9/12/1998,6/12/2021,6/2/2022,1 Year,11/28/2020,1/18/2023,"$18.873.984,51","$11.801.995,02",HSBC,51625-003,"$13.183.016,50","$7.071.989,49","-$6.111.027,01",Drona Camili,INDEN,http://jimdo.com/quam/sollicitudin/vitae.json?dolor=venenatis&sit=non&amet=sodales&consectetuer=sed&adipiscing=tincidunt&elit=eu&proin=felis&risus=fusce&praesent=posuere&lectus=felis&vestibulum=sed&quam=lacus&sapien=morbi&varius=sem&ut=mauris&blandit=laoreet&non=ut&interdum=rhoncus&in=aliquet&ante=pulvinar&vestibulum=sed&ante=nisl&ipsum=nunc&primis=rhoncus&in=dui&faucibus=vel&orci=sem&luctus=sed&et=sagittis&ultrices=nam&posuere=congue&cubilia=risus&curae=semper&duis=porta&faucibus=volutpat&accumsan=quam&odio=pede&curabitur=lobortis&convallis=ligula&duis=sit&consequat=amet&dui=eleifend&nec=pede&nisi=libero&volutpat=quis&eleifend=orci&donec=nullam&ut=molestie&dolor=nibh&morbi=in&vel=lectus&lectus=pellentesque&in=at&quam=nulla&fringilla=suspendisse&rhoncus=potenti&mauris=cras&enim=in&leo=purus&rhoncus=eu&sed=magna&vestibulum=vulputate&sit=luctus&amet=cum&cursus=sociis&id=natoque&turpis=penatibus&integer=et&aliquet=magnis&massa=dis&id=parturient&lobortis=montes&convallis=nascetur&tortor=ridiculus&risus=mus,Full time,100,Hybrid,10/3/2022,3/9/2022
109,Vũ Lan Anh,Male,jharnetty30@seesaa.net,jharnetty30,@solutiondtk.com,jharnetty30@solutiondtk.com,84,360-559-4538,+84 360-559-4538,11822-0323,49348-610,Software Engineer,Management,Ho Chi Minh,University of Central Greece,17/05/97,16/10/21,16/12/21,Probation,7/25/2021,12/30/2022,"$22.779.202,02","$15.630.072,36",HSBC,0527-1330,"$9.908.921,05","$7.149.129,66","-$2.759.791,39",Jard Harnetty,EMBI,http://thetimes.co.uk/quis/turpis/sed.html?consequat=est&in=quam&consequat=pharetra&ut=magna&nulla=ac&sed=consequat&accumsan=metus&felis=sapien&ut=ut&at=nunc&dolor=vestibulum&quis=ante&odio=ipsum&consequat=primis&varius=in&integer=faucibus&ac=orci&leo=luctus&pellentesque=et&ultrices=ultrices&mattis=posuere&odio=cubilia&donec=curae&vitae=mauris&nisi=viverra&nam=diam&ultrices=vitae,Part time,80,Online,2/8/2022,5/9/2022
110,Huỳnh Đỗ Nhật Phúc,Female,jbasey31@hatena.ne.jp,jbasey31,@solutiondtk.com,jbasey31@solutiondtk.com,84,905-573-3526,+84 905-573-3526,55154-9554,0054-0222,HR,Marketing,Da Nang,Universidad de la Marina Mercante,11/7/1998,21/09/20,21/11/20,1 Year,9/21/2020,11/19/2021,"$18.231.388,97","$10.111.846,94",HSBC,0093-5295,"$9.311.888,89","$8.119.542,03","-$1.192.346,86",Jess Basey,EMBI,https://smh.com.au/pretium/quis/lectus/suspendisse/potenti/in.json?cum=eget&sociis=congue&natoque=eget&penatibus=semper&et=rutrum&magnis=nulla&dis=nunc&parturient=purus&montes=phasellus&nascetur=in&ridiculus=felis&mus=donec&vivamus=semper&vestibulum=sapien&sagittis=a&sapien=libero&cum=nam&sociis=dui&natoque=proin&penatibus=leo&et=odio&magnis=porttitor&dis=id&parturient=consequat&montes=in&nascetur=consequat&ridiculus=ut&mus=nulla&etiam=sed&vel=accumsan&augue=felis&vestibulum=ut&rutrum=at&rutrum=dolor&neque=quis&aenean=odio&auctor=consequat&gravida=varius&sem=integer&praesent=ac&id=leo&massa=pellentesque&id=ultrices&nisl=mattis&venenatis=odio&lacinia=donec&aenean=vitae&sit=nisi&amet=nam&justo=ultrices&morbi=libero&ut=non&odio=mattis&cras=pulvinar&mi=nulla&pede=pede&malesuada=ullamcorper&in=augue&imperdiet=a&et=suscipit&commodo=nulla&vulputate=elit&justo=ac&in=nulla&blandit=sed&ultrices=vel&enim=enim&lorem=sit&ipsum=amet&dolor=nunc&sit=viverra&amet=dapibus&consectetuer=nulla&adipiscing=suscipit&elit=ligula&proin=in&interdum=lacus&mauris=curabitur&non=at&ligula=ipsum&pellentesque=ac&ultrices=tellus&phasellus=semper&id=interdum&sapien=mauris&in=ullamcorper&sapien=purus&iaculis=sit&congue=amet&vivamus=nulla&metus=quisque,Part time,80,Online,11/4/2021,4/17/2022
111,Võ Thị Diệu Linh,Female,lgiorgio32@imgur.com,lgiorgio32,@solutiondtk.com,lgiorgio32@solutiondtk.com,84,140-827-3584,+84 140-827-3584,0113-0484,13537-173,HR,Sales,Da Nang,Indian Law Institue,20/10/96,7/11/2021,7/1/2022,Probation,6/1/2021,2/18/2023,"$13.000.870,81","$1.671.999,09",HSBC,49349-753,"$22.526.395,14","$11.328.871,72","-$11.197.523,42",Lynde Giorgio,SISS,https://google.pl/sit/amet/diam/in/magna.xml?neque=neque&vestibulum=duis&eget=bibendum&vulputate=morbi&ut=non&ultrices=quam&vel=nec&augue=dui&vestibulum=luctus&ante=rutrum&ipsum=nulla&primis=tellus&in=in&faucibus=sagittis&orci=dui&luctus=vel&et=nisl&ultrices=duis&posuere=ac&cubilia=nibh&curae=fusce&donec=lacus&pharetra=purus&magna=aliquet&vestibulum=at&aliquet=feugiat&ultrices=non&erat=pretium&tortor=quis&sollicitudin=lectus&mi=suspendisse&sit=potenti&amet=in&lobortis=eleifend&sapien=quam&sapien=a&non=odio&mi=in&integer=hac&ac=habitasse&neque=platea&duis=dictumst&bibendum=maecenas&morbi=ut&non=massa&quam=quis&nec=augue&dui=luctus&luctus=tincidunt&rutrum=nulla&nulla=mollis&tellus=molestie&in=lorem&sagittis=quisque&dui=ut&vel=erat&nisl=curabitur&duis=gravida&ac=nisi&nibh=at&fusce=nibh&lacus=in&purus=hac&aliquet=habitasse&at=platea&feugiat=dictumst&non=aliquam&pretium=augue&quis=quam&lectus=sollicitudin&suspendisse=vitae&potenti=consectetuer&in=eget&eleifend=rutrum,Part time,80,Offline,7/21/2022,2/13/2022
113,Bùi Thanh Lộc,Male,gstryde34@freewebs.com,gstryde34,@solutiondtk.com,gstryde34@solutiondtk.com,84,450-953-7537,+84 450-953-7537,63645-111,62756-826,Digital Marketing,Technology,Hanoi,Ural State Technical University,26/10/96,21/07/20,21/09/20,Probation,9/26/2020,11/5/2021,"$21.301.710,69","$10.487.400,18",HSBC,50988-270,"$20.457.107,70","$10.814.310,51","-$9.642.797,19",Grace Stryde,EMBI,https://cpanel.net/dui.js?primis=fringilla&in=rhoncus&faucibus=mauris&orci=enim&luctus=leo&et=rhoncus&ultrices=sed&posuere=vestibulum&cubilia=sit&curae=amet&donec=cursus&pharetra=id&magna=turpis&vestibulum=integer&aliquet=aliquet&ultrices=massa&erat=id&tortor=lobortis&sollicitudin=convallis&mi=tortor&sit=risus&amet=dapibus&lobortis=augue&sapien=vel&sapien=accumsan&non=tellus&mi=nisi&integer=eu&ac=orci&neque=mauris&duis=lacinia&bibendum=sapien&morbi=quis&non=libero&quam=nullam&nec=sit&dui=amet&luctus=turpis&rutrum=elementum&nulla=ligula&tellus=vehicula&in=consequat&sagittis=morbi&dui=a&vel=ipsum&nisl=integer&duis=a&ac=nibh&nibh=in&fusce=quis&lacus=justo&purus=maecenas&aliquet=rhoncus&at=aliquam&feugiat=lacus&non=morbi&pretium=quis&quis=tortor&lectus=id&suspendisse=nulla&potenti=ultrices&in=aliquet&eleifend=maecenas&quam=leo&a=odio&odio=condimentum&in=id&hac=luctus&habitasse=nec&platea=molestie&dictumst=sed&maecenas=justo&ut=pellentesque&massa=viverra&quis=pede&augue=ac&luctus=diam&tincidunt=cras&nulla=pellentesque&mollis=volutpat&molestie=dui,Full time,80,Offline,6/4/2022,8/9/2022
115,Nguyễn Hoàng Minh Ngọc,Female,jfahrenbacher36@theguardian.com,jfahrenbacher36,@solutiondtk.com,jfahrenbacher36@solutiondtk.com,84,658-210-8622,+84 658-210-8622,52380-0038,64117-303,Software Engineer,Management,Hanoi,"Institute of Teachers Education, Penang",10/6/1998,16/07/20,16/09/20,Probation,12/21/2020,6/1/2022,"$24.795.663,18","$5.168.882,82",HSBC,54868-5792,"$23.428.310,82","$19.626.780,36","-$3.801.530,46",Joelynn Fahrenbacher,SISS,https://aboutads.info/ante/vivamus/tortor/duis/mattis/egestas/metus.jsp?ultrices=amet&vel=justo&augue=morbi&vestibulum=ut&ante=odio&ipsum=cras&primis=mi&in=pede&faucibus=malesuada&orci=in&luctus=imperdiet&et=et&ultrices=commodo&posuere=vulputate&cubilia=justo&curae=in&donec=blandit&pharetra=ultrices&magna=enim&vestibulum=lorem&aliquet=ipsum&ultrices=dolor&erat=sit&tortor=amet&sollicitudin=consectetuer&mi=adipiscing&sit=elit&amet=proin&lobortis=interdum&sapien=mauris&sapien=non&non=ligula&mi=pellentesque&integer=ultrices&ac=phasellus&neque=id&duis=sapien&bibendum=in&morbi=sapien&non=iaculis&quam=congue&nec=vivamus&dui=metus&luctus=arcu&rutrum=adipiscing&nulla=molestie&tellus=hendrerit&in=at&sagittis=vulputate&dui=vitae&vel=nisl&nisl=aenean&duis=lectus&ac=pellentesque&nibh=eget&fusce=nunc&lacus=donec&purus=quis&aliquet=orci&at=eget&feugiat=orci&non=vehicula&pretium=condimentum&quis=curabitur&lectus=in&suspendisse=libero&potenti=ut&in=massa&eleifend=volutpat&quam=convallis&a=morbi&odio=odio&in=odio&hac=elementum&habitasse=eu&platea=interdum&dictumst=eu&maecenas=tincidunt&ut=in&massa=leo&quis=maecenas&augue=pulvinar&luctus=lobortis&tincidunt=est&nulla=phasellus&mollis=sit&molestie=amet&lorem=erat&quisque=nulla&ut=tempus&erat=vivamus&curabitur=in&gravida=felis&nisi=eu&at=sapien&nibh=cursus&in=vestibulum&hac=proin&habitasse=eu,Part time,80,Hybrid,10/29/2021,4/17/2022
118,Trần Minh Thường,Agender,dprati39@naver.com,dprati39,@solutiondtk.com,dprati39@solutiondtk.com,84,119-334-5084,+84 119-334-5084,57237-066,49281-510,Software Engineer,Technology,Ho Chi Minh,Concord College,8/8/1998,1/10/2020,1/12/2020,Probation,6/7/2021,11/22/2022,"$12.679.890,50","$3.654.119,37",HSBC,58406-435,"$12.094.379,30","$9.025.771,13","-$3.068.608,17",Darryl Prati,INDEN,https://canalblog.com/vel/dapibus/at/diam.html?dapibus=odio&duis=porttitor&at=id&velit=consequat&eu=in&est=consequat&congue=ut&elementum=nulla&in=sed&hac=accumsan&habitasse=felis&platea=ut&dictumst=at&morbi=dolor&vestibulum=quis&velit=odio&id=consequat&pretium=varius&iaculis=integer&diam=ac&erat=leo&fermentum=pellentesque&justo=ultrices&nec=mattis&condimentum=odio&neque=donec&sapien=vitae&placerat=nisi&ante=nam&nulla=ultrices&justo=libero&aliquam=non&quis=mattis&turpis=pulvinar,Part time,100,Offline,7/26/2022,2/5/2022
119,Nguyễn Anh Toàn,Polygender,nfadian3a@senate.gov,nfadian3a,@solutiondtk.com,nfadian3a@solutiondtk.com,84,225-927-5856,+84 225-927-5856,68788-9840,14743-536,Digital Marketing,Marketing,Ho Chi Minh,Seoul National University of Technology,24/09/99,11/5/2022,11/7/2022,1 Year,2/22/2022,12/9/2022,"$22.644.901,33","$7.850.234,82",HSBC,0781-3413,"$17.294.162,66","$14.794.666,51","-$2.499.496,15",Nolly Fadian,SISS,http://eventbrite.com/phasellus/id/sapien/in.xml?ut=nec&nulla=sem&sed=duis&accumsan=aliquam&felis=convallis&ut=nunc&at=proin&dolor=at&quis=turpis&odio=a&consequat=pede&varius=posuere&integer=nonummy&ac=integer&leo=non&pellentesque=velit&ultrices=donec&mattis=diam&odio=neque&donec=vestibulum&vitae=eget&nisi=vulputate,Full time,80,Hybrid,8/16/2022,6/30/2022
122,Trần Quang Tùng,Male,bhigbin3d@apache.org,bhigbin3d,@solutiondtk.com,bhigbin3d@solutiondtk.com,84,889-746-0770,+84 889-746-0770,30142-013,0378-7352,Software Engineer,Management,Hanoi,Mu' tah University,25/06/00,29/03/20,29/05/20,Infinity,12/8/2021,,"$24.106.477,01","$8.819.072,96",HSBC,69097-149,"$24.043.263,15","$15.287.404,05","-$8.755.859,10",Bartolomeo Higbin,OTLS,https://scribd.com/in/porttitor/pede/justo/eu.jpg?integer=eleifend&a=donec,Full time,80,Offline,8/16/2022,10/13/2022
124,Trương Tùng Dương,Female,dstiggers3f@state.gov,dstiggers3f,@solutiondtk.com,dstiggers3f@solutiondtk.com,84,398-410-4015,+84 398-410-4015,0536-3990,68382-136,Project Manager,Management,Hanoi,Hanazono University,29/06/99,2/6/2022,2/8/2022,Infinity,7/31/2020,,"$20.031.609,51","$9.285.598,78",HSBC,68151-4145,"$13.257.590,52","$10.746.010,73","-$2.511.579,79",Dion Stiggers,OTLS,https://opensource.org/eleifend/donec.jsp?id=vel&ornare=pede&imperdiet=morbi&sapien=porttitor&urna=lorem&pretium=id&nisl=ligula&ut=suspendisse&volutpat=ornare&sapien=consequat&arcu=lectus&sed=in&augue=est&aliquam=risus&erat=auctor&volutpat=sed&in=tristique&congue=in&etiam=tempus&justo=sit&etiam=amet&pretium=sem&iaculis=fusce&justo=consequat&in=nulla&hac=nisl&habitasse=nunc&platea=nisl&dictumst=duis&etiam=bibendum&faucibus=felis&cursus=sed&urna=interdum&ut=venenatis&tellus=turpis&nulla=enim&ut=blandit&erat=mi&id=in&mauris=porttitor&vulputate=pede&elementum=justo&nullam=eu&varius=massa,Full time,80,Hybrid,9/6/2022,3/25/2022
125,Nguyễn Thế Anh,Male,pmulliner3g@last.fm,pmulliner3g,@solutiondtk.com,pmulliner3g@solutiondtk.com,84,133-231-7557,+84 133-231-7557,49348-543,69153-030,Accountant,Marketing,Hanoi,Caldwell College,29/08/99,22/06/22,22/08/22,Probation,2/10/2022,1/5/2023,"$21.964.734,01","$12.053.673,38",HSBC,43547-273,"$12.231.172,41","$9.911.060,63","-$2.320.111,78",Pattie Mulliner,MKT,https://si.edu/eu/interdum/eu/tincidunt.xml?montes=cras&nascetur=mi&ridiculus=pede&mus=malesuada&vivamus=in&vestibulum=imperdiet&sagittis=et&sapien=commodo&cum=vulputate&sociis=justo&natoque=in&penatibus=blandit&et=ultrices&magnis=enim&dis=lorem&parturient=ipsum&montes=dolor&nascetur=sit&ridiculus=amet&mus=consectetuer&etiam=adipiscing&vel=elit&augue=proin&vestibulum=interdum&rutrum=mauris&rutrum=non&neque=ligula&aenean=pellentesque&auctor=ultrices&gravida=phasellus&sem=id&praesent=sapien&id=in&massa=sapien&id=iaculis&nisl=congue&venenatis=vivamus&lacinia=metus&aenean=arcu&sit=adipiscing&amet=molestie&justo=hendrerit&morbi=at&ut=vulputate&odio=vitae&cras=nisl&mi=aenean&pede=lectus&malesuada=pellentesque&in=eget&imperdiet=nunc&et=donec&commodo=quis&vulputate=orci&justo=eget&in=orci&blandit=vehicula&ultrices=condimentum&enim=curabitur&lorem=in&ipsum=libero&dolor=ut&sit=massa&amet=volutpat&consectetuer=convallis&adipiscing=morbi&elit=odio&proin=odio&interdum=elementum&mauris=eu&non=interdum&ligula=eu&pellentesque=tincidunt&ultrices=in&phasellus=leo&id=maecenas&sapien=pulvinar&in=lobortis&sapien=est&iaculis=phasellus&congue=sit&vivamus=amet&metus=erat,Part time,100,Hybrid,5/11/2022,3/1/2022
127,Huỳnh Luy Khanh,Genderqueer,bpolkinghorne3i@soundcloud.com,bpolkinghorne3i,@solutiondtk.com,bpolkinghorne3i@solutiondtk.com,84,951-741-7649,+84 951-741-7649,54868-4573,59762-5010,Content Marketing,Marketing,Hanoi,Akademie der bildenden Künste Wien,25/04/99,11/2/2022,11/4/2022,Probation,7/13/2020,2/22/2023,"$22.936.910,95","$4.857.513,22",HSBC,76237-111,"$21.528.736,14","$18.079.397,73","-$3.449.338,41",Basile Polkinghorne,MKT,http://ca.gov/amet/turpis.xml?ut=a&suscipit=ipsum&a=integer&feugiat=a&et=nibh&eros=in&vestibulum=quis&ac=justo&est=maecenas&lacinia=rhoncus&nisi=aliquam&venenatis=lacus&tristique=morbi&fusce=quis&congue=tortor&diam=id&id=nulla&ornare=ultrices&imperdiet=aliquet&sapien=maecenas&urna=leo&pretium=odio&nisl=condimentum&ut=id&volutpat=luctus&sapien=nec&arcu=molestie&sed=sed&augue=justo&aliquam=pellentesque&erat=viverra&volutpat=pede&in=ac&congue=diam&etiam=cras&justo=pellentesque&etiam=volutpat&pretium=dui&iaculis=maecenas&justo=tristique&in=est&hac=et,Full time,100,Offline,9/22/2022,1/20/2022
128,Hồ Anh Dũng,Female,tcristofanini3j@senate.gov,tcristofanini3j,@solutiondtk.com,tcristofanini3j@solutiondtk.com,84,158-417-8010,+84 158-417-8010,64679-631,58668-1391,Accountant,Sales,Hanoi,Orissa University of Agriculture and Technology,12/11/1996,26/07/21,26/09/21,Probation,1/19/2021,10/3/2022,"$10.206.960,13","$1.473.605,74",HSBC,0268-6539,"$17.061.381,71","$8.733.354,39","-$8.328.027,32",Tammara Cristofanini,INDEN,http://usgs.gov/lacus/purus.xml?habitasse=in&platea=felis&dictumst=donec&maecenas=semper&ut=sapien&massa=a&quis=libero&augue=nam&luctus=dui&tincidunt=proin&nulla=leo&mollis=odio&molestie=porttitor&lorem=id&quisque=consequat&ut=in&erat=consequat&curabitur=ut&gravida=nulla&nisi=sed&at=accumsan&nibh=felis&in=ut&hac=at&habitasse=dolor&platea=quis&dictumst=odio&aliquam=consequat&augue=varius&quam=integer&sollicitudin=ac&vitae=leo&consectetuer=pellentesque&eget=ultrices&rutrum=mattis&at=odio&lorem=donec&integer=vitae&tincidunt=nisi&ante=nam&vel=ultrices&ipsum=libero&praesent=non&blandit=mattis&lacinia=pulvinar&erat=nulla&vestibulum=pede&sed=ullamcorper&magna=augue&at=a&nunc=suscipit&commodo=nulla&placerat=elit&praesent=ac&blandit=nulla&nam=sed&nulla=vel&integer=enim&pede=sit&justo=amet&lacinia=nunc&eget=viverra&tincidunt=dapibus&eget=nulla&tempus=suscipit&vel=ligula&pede=in&morbi=lacus&porttitor=curabitur&lorem=at&id=ipsum&ligula=ac&suspendisse=tellus&ornare=semper&consequat=interdum&lectus=mauris&in=ullamcorper&est=purus&risus=sit&auctor=amet&sed=nulla&tristique=quisque&in=arcu&tempus=libero&sit=rutrum&amet=ac&sem=lobortis&fusce=vel&consequat=dapibus&nulla=at&nisl=diam&nunc=nam&nisl=tristique&duis=tortor,Full time,80,Offline,5/5/2022,3/10/2022
